time,AC,ACEN,AEV,AGI,ALI,AREIT,BDO,BLOOM,BPI,CBC,CNPF,CNVRG,DMC,EMI,GLO,GTCAP,ICT,JFC,JGS,LTG,MBT,MER,MONDE,PGOLD,SCC,SM,SMC,SMPH,TEL,URC
2021-06-01,745.74285216,7.12686727,34.09325417,9.86582038,33.18193462,28.87693909,80.68346475,6.43843352,70.2500942,20.0117753,21.75967517,19.05289729,3.48736771,9.2657047,1477.83810289,567.4868913,121.37271205,180.81061471,55.41159031,8.43724698,38.3551344,227.27345773,12.54886924,32.00468184,6.89285396,922.65829851,109.87224053,35.07005535,983.82539727,119.07821767
2021-06-02,774.90330985,7.23411152,34.7497353,10.22909671,35.03064336,29.15574932,81.21728729,6.88717282,71.41675739,20.0117753,21.94525782,19.28501379,3.5057869,9.35167516,1484.30920569,594.55611269,126.10921659,186.75770124,57.87540516,8.28122392,38.39467498,231.33191233,12.54886924,32.91415093,7.04763361,960.6020807,113.56303931,36.45944383,990.6312609,123.42413803
2021-06-03,762.9523026,7.35110523,33.91819166,10.17173729,34.60401754,28.87693909,80.22590256,6.95545924,71.66676023,19.64270649,22.54840351,19.11092545,3.61016235,9.35167516,1464.89589728,575.22095456,125.51713767,185.89441449,57.00582288,8.29322569,38.75054815,230.52022141,12.19511774,32.61099601,7.24368784,958.68087654,114.03621864,35.83661781,996.68091745,122.38111714
2021-06-04,770.60094724,7.58509267,33.83066259,10.13349768,34.50921391,29.03626093,81.59858911,6.97496964,71.54175839,19.68371341,22.54840351,19.68154519,3.64086101,9.18928652,1488.35364495,561.20296491,125.17882498,186.08625599,57.97202327,8.28122392,38.82962932,228.89683957,12.47439524,32.69761046,7.13018276,960.6020807,112.14350132,35.45333658,1004.24298815,121.68576989
2021-06-07,760.08406086,7.58509267,34.31208121,9.78934115,34.41440553,29.15574932,81.14102693,6.87741762,70.95842763,19.84774518,22.27002907,19.53647334,3.57946369,9.19883879,1488.35364495,570.38716502,124.3330221,188.004671,58.45512346,8.28122392,38.63192245,223.21500312,12.53025074,33.08738417,7.22305055,950.99605989,111.19714266,35.1179691,1000.4619528,122.55495396
2021-06-08,765.82054434,7.39985261,34.83726437,9.80846096,35.03064336,29.29274427,81.52232875,6.90668323,70.8334258,19.84774518,22.0380496,19.20764163,3.62244181,9.35167516,1463.27812158,580.05474409,126.78584197,190.40268976,59.31075391,8.16120618,38.63192245,223.21500312,12.53025074,32.56768445,7.41910478,962.52328486,110.06151226,35.26169597,993.65608918,122.81570918
2021-06-09,798.32728405,7.71183586,35.14362485,9.90405999,36.31051608,28.7286506,84.11518111,6.96521444,71.37509484,19.84774518,21.75967517,19.53647334,3.68383913,9.55227289,1472.17588794,590.20570211,126.87043072,196.63753855,59.69967883,7.98117957,38.82962932,223.53967138,12.75367275,32.56768445,7.36751156,960.6020807,110.15614813,36.02825364,992.14367504,124.2933221
2021-06-10,772.99114869,7.60459162,35.75633707,9.84670057,35.74168482,28.76894243,83.12379638,7.02374566,70.91675758,19.80673662,21.48129888,19.48811477,3.69611859,9.55227289,1472.17588794,580.05474409,126.87043072,195.29465763,58.33844647,7.98117957,38.82962932,225.32540764,12.95847625,33.7803128,7.22305055,969.24749943,113.56303931,35.88452677,990.6312609,126.03169024
2021-06-11,782.07391419,7.67283796,35.88763505,9.77022135,36.31051608,29.41362379,83.81203359,7.08227687,71.66676023,20.09379077,21.80607013,20.74541346,3.6592802,9.55227289,1489.1625328,578.12122828,127.71623359,194.91096504,58.58152333,7.86116183,39.42274996,227.27345773,13.07018725,33.86692725,7.31591835,978.85352023,112.61668065,35.45333658,990.6312609,126.98780141
2021-06-14,783.98607535,7.79958115,36.98177026,9.9231798,35.12544699,29.65537879,87.17675026,7.02374566,72.04175822,20.09379077,21.38850616,20.89048531,3.77593511,9.85794562,1532.84247673,578.12122828,129.99990134,198.74779506,58.48429453,8.08919554,38.94825503,227.27345773,13.66597926,34.08346772,7.37783021,960.6020807,111.67032199,35.93243573,992.14367504,125.5970982
